0,1,2,3,4,5,6
['Jumpers J5562 and J5563 set to 1-2 which enables a0_debug_strap. This is not POR and could cause issues with DRNG. Uninstall the jumpers if this is an issue.'],['BIOS Post Code: 0x58\nBIOS Minor Code: 0x00\nError Code: 0x00\nError Minor Code: 0x00Error Post Code: 0x00\nError Post Minor Code: 0x00'],"['mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.', 'Merge Bank6-Punit signaled an MCA to Ubox; Check mc_status of MCA BANKID:6 and  MCA BANK_INDEX:0x4', 'LOCK hang, due to incorrect uboxivctl reg programming']","['UBOX ERROR ( mcacod:0x40c desc:Shutdown suppression)( mscod:0x2 desc: Error signaled by the core and logged in Ubox. Check the core for more details.)', 'PUNIT ERROR ( mcacod:0x402 desc:Pcode Error)( mscod:0x5300 desc: PROBE_MODE_PREP_TIMEOUT)', 'PUNIT ERROR ( mcacod:0x402 desc:Pcode Error)( mscod:0x5300 desc: PROBE_MODE_PREP_TIMEOUT)']","['msm_global_status_ctrl_reg.global_viral: Global Viral Crashlog Trigger along with IERR assertion from PUNIT', 'msm_global_status_ctrl_reg.general_mca: oobmsm saw that CPU has logged an MCA', 'msm_global_status_ctrl_reg.ierr: oobmsm saw that CPU has logged an ierr', 'uncersts_msm.received_an_unsupported_request: OOBMSM recieved an unsupported request', 'corerrsts_msm.advisory_non_fatal_error_status', 'uncersts_oob.received_an_unsupported_request', 'corerrsts_oob.advisory_non_fatal_error_status', 'msm_mbx_error_sts.mbx_overflow', 'msm_global_status_ctrl_reg.global_viral: Global Viral Crashlog Trigger along with IERR assertion from PUNIT', 'msm_global_status_ctrl_reg.general_mca: oobmsm saw that CPU has logged an MCA', 'msm_global_status_ctrl_reg.ierr: oobmsm saw that CPU has logged an ierr', 'msm_global_status_ctrl_reg.global_viral: Global Viral Crashlog Trigger along with IERR assertion from PUNIT', 'msm_global_status_ctrl_reg.general_mca: oobmsm saw that CPU has logged an MCA', 'msm_global_status_ctrl_reg.ierr: oobmsm saw that CPU has logged an ierr']",[],
['Jumpers J5562 and J5563 set to 1-2 which enables a0_debug_strap. This is not POR and could cause issues with DRNG. Uninstall the jumpers if this is an issue.'],,,,,,
['Jumpers J5562 and J5563 set to 1-2 which enables a0_debug_strap. This is not POR and could cause issues with DRNG. Uninstall the jumpers if this is an issue.'],['BIOS Post Code: 0x58\nBIOS Minor Code: 0x00\nError Code: 0x00\nError Minor Code: 0x00Error Post Code: 0x00\nError Post Minor Code: 0x00'],"['mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.', 'Merge Bank6-Punit signaled an MCA to Ubox; Check mc_status of MCA BANKID:6 and  MCA BANK_INDEX:0x9', 'LOCK hang, due to incorrect uboxivctl reg programming']","['UBOX ERROR ( mcacod:0x40c desc:Shutdown suppression)( mscod:0x2 desc: Error signaled by the core and logged in Ubox. Check the core for more details.)', 'PUNIT ERROR ( mcacod:0x402 desc:Punit Error)( mscod:0x10 desc: IERR_GENERIC)', 'PUNIT ERROR ( mcacod:0x402 desc:Punit Error)( mscod:0x10 desc: IERR_GENERIC)', 'PUNIT ERROR ( mcacod:0x402 desc:S3M_or_ISCLK Error)( mscod:0x80 desc: IERR_NON_PM)']","['msm_global_status_ctrl_reg.global_viral: Global Viral Crashlog Trigger along with IERR assertion from PUNIT', 'msm_global_status_ctrl_reg.general_mca: oobmsm saw that CPU has logged an MCA', 'msm_global_status_ctrl_reg.ierr: oobmsm saw that CPU has logged an ierr', 'uncersts_msm.received_an_unsupported_request: OOBMSM recieved an unsupported request', 'corerrsts_msm.advisory_non_fatal_error_status', 'uncersts_oob.received_an_unsupported_request', 'corerrsts_oob.advisory_non_fatal_error_status', 'msm_mbx_error_sts.mbx_overflow', 'msm_global_status_ctrl_reg.global_viral: Global Viral Crashlog Trigger along with IERR assertion from PUNIT', 'msm_global_status_ctrl_reg.general_mca: oobmsm saw that CPU has logged an MCA', 'msm_global_status_ctrl_reg.ierr: oobmsm saw that CPU has logged an ierr', 'msm_global_status_ctrl_reg.global_viral: Global Viral Crashlog Trigger along with IERR assertion from PUNIT', 'msm_global_status_ctrl_reg.general_mca: oobmsm saw that CPU has logged an MCA', 'msm_global_status_ctrl_reg.ierr: oobmsm saw that CPU has logged an ierr']",[],
['Jumpers J5562 and J5563 set to 1-2 which enables a0_debug_strap. This is not POR and could cause issues with DRNG. Uninstall the jumpers if this is an issue.'],,,,,,
['Jumpers J5562 and J5563 set to 1-2 which enables a0_debug_strap. This is not POR and could cause issues with DRNG. Uninstall the jumpers if this is an issue.'],[],['Merge Bank6-Punit signaled an MCA to Ubox; Check mc_status of MCA BANKID:6 and  MCA BANK_INDEX:0x4'],"['MLC ERROR ( mcacod:0x400 desc:Internal Timer Error: Internal Timer Error)( mscod:0x80 desc: MLC WDTimeout (3 strike))', 'MLC ERROR ( mcacod:0x400 desc:Internal Timer Error: Internal Timer Error)( mscod:0x80 desc: MLC WDTimeout (3 strike))', 'MLC ERROR ( mcacod:0x400 desc:Internal Timer Error: Internal Timer Error)( mscod:0x80 desc: MLC WDTimeout (3 strike))', 'MLC ERROR ( mcacod:0x400 desc:Internal Timer Error: Internal Timer Error)( mscod:0x80 desc: MLC WDTimeout (3 strike))', 'MLC ERROR ( mcacod:0x400 desc:Internal Timer Error: Internal Timer Error)( mscod:0x80 desc: MLC WDTimeout (3 strike))', 'MLC ERROR ( mcacod:0x400 desc:Internal Timer Error: Internal Timer Error)( mscod:0x80 desc: MLC WDTimeout (3 strike))', 'MLC ERROR ( mcacod:0x400 desc:Internal Timer Error: Internal Timer Error)( mscod:0x80 desc: MLC WDTimeout (3 strike))', 'MLC ERROR ( mcacod:0x400 desc:Internal Timer Error: Internal Timer Error)( mscod:0x80 desc: MLC WDTimeout (3 strike))', 'MLC ERROR ( mcacod:0x400 desc:Internal Timer Error: Internal Timer Error)( mscod:0x80 desc: MLC WDTimeout (3 strike))', 'MLC ERROR ( mcacod:0x400 desc:Internal Timer Error: Internal Timer Error)( mscod:0x80 desc: MLC WDTimeout (3 strike))', 'MLC ERROR ( mcacod:0x400 desc:Internal Timer Error: Internal Timer Error)( mscod:0x80 desc: MLC WDTimeout (3 strike))', 'MLC ERROR ( mcacod:0x400 desc:Internal Timer Error: Internal Timer Error)( mscod:0x80 desc: MLC WDTimeout (3 strike))', 'MLC ERROR ( mcacod:0x400 desc:Internal Timer Error: Internal Timer Error)( mscod:0x80 desc: MLC WDTimeout (3 strike))', 'MLC ERROR ( mcacod:0x400 desc:Internal Timer Error: Internal Timer Error)( mscod:0x80 desc: MLC WDTimeout (3 strike))', 'MLC ERROR ( mcacod:0x40e desc:None)( mscod:0x0 desc: None)', 'MLC ERROR ( mcacod:0x400 desc:Internal Timer Error: Internal Timer Error)( mscod:0x80 desc: MLC WDTimeout (3 strike))', 'MLC ERROR ( mcacod:0x400 desc:Internal Timer Error: Internal Timer Error)( mscod:0x80 desc: MLC WDTimeout (3 strike))', 'MLC ERROR ( mcacod:0x400 desc:Internal Timer Error: Internal Timer Error)( mscod:0x80 desc: MLC WDTimeout (3 strike))', 'PUNIT ERROR ( mcacod:0x402 desc:Punit Error)( mscod:0x10 desc: IERR_GENERIC)', 'PUNIT ERROR ( mcacod:0x402 desc:Pcode Error)( mscod:0x5300 desc: PROBE_MODE_PREP_TIMEOUT)', 'PUNIT ERROR ( mcacod:0x402 desc:Pcode Error)( mscod:0x5300 desc: PROBE_MODE_PREP_TIMEOUT)']","['msm_global_status_ctrl_reg.global_viral: Global Viral Crashlog Trigger along with IERR assertion from PUNIT', 'msm_global_status_ctrl_reg.general_mca: oobmsm saw that CPU has logged an MCA', 'msm_global_status_ctrl_reg.ierr: oobmsm saw that CPU has logged an ierr', 'uncersts_msm.received_an_unsupported_request: OOBMSM recieved an unsupported request', 'corerrsts_msm.advisory_non_fatal_error_status', 'msm_mbx_error_sts.mbx_overflow', 'msm_global_status_ctrl_reg.global_viral: Global Viral Crashlog Trigger along with IERR assertion from PUNIT', 'msm_global_status_ctrl_reg.general_mca: oobmsm saw that CPU has logged an MCA', 'msm_global_status_ctrl_reg.ierr: oobmsm saw that CPU has logged an ierr', 'msm_global_status_ctrl_reg.global_viral: Global Viral Crashlog Trigger along with IERR assertion from PUNIT', 'msm_global_status_ctrl_reg.general_mca: oobmsm saw that CPU has logged an MCA', 'msm_global_status_ctrl_reg.ierr: oobmsm saw that CPU has logged an ierr']",[],
['Jumpers J5562 and J5563 set to 1-2 which enables a0_debug_strap. This is not POR and could cause issues with DRNG. Uninstall the jumpers if this is an issue.'],[],"['msm_global_status_ctrl_reg.global_viral: Global Viral Crashlog Trigger along with IERR assertion from PUNIT', 'uncersts_msm.received_an_unsupported_request: OOBMSM recieved an unsupported request', 'corerrsts_msm.advisory_non_fatal_error_status', 'msm_mbx_error_sts.mbx_overflow', 'msm_global_status_ctrl_reg.global_viral: Global Viral Crashlog Trigger along with IERR assertion from PUNIT', 'msm_global_status_ctrl_reg.global_viral: Global Viral Crashlog Trigger along with IERR assertion from PUNIT']",[],,,
['Jumpers J5562 and J5563 set to 1-2 which enables a0_debug_strap. This is not POR and could cause issues with DRNG. Uninstall the jumpers if this is an issue.'],,,,,,
[],,,,,,
['Jumpers J5562 and J5563 set to 1-2 which enables a0_debug_strap. This is not POR and could cause issues with DRNG. Uninstall the jumpers if this is an issue.'],,,,,,
['Jumpers J5562 and J5563 set to 1-2 which enables a0_debug_strap. This is not POR and could cause issues with DRNG. Uninstall the jumpers if this is an issue.'],,,,,,
